"CONCEPT_ID","CONCEPT_HISTORY_ID","CONCEPT_HISTORY_DATE","COMPONENT_ID","COMPONENT_HISTORY_ID","LOGICAL_TYPE","CODELIST_ID","CODELIST_HISTORY_ID","ID","CODE","DESCRIPTION","ATTRIBUTES","RN","CONCEPT_VERSION_ID","CONCEPT_NAME","CODYING_SYSTEM","PHENOTYPE_ID","PHENOTYPE_VERSION_ID","PHENOTYPE_NAME","PRIMARY"
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169150,"1699821000006113",At risk of chronic obstructive pulmonary diseas exacerbation,"{'SNOMED CT Concept ID': '383611000000102', 'SNOMED CT Description ID': '756761000000112', 'Read V2 Code': '14OX.00', 'BREATHE Chronic bronchitis': '', 'BREATHE Emphysema': '', 'BREATHE incident COPD': '', 'BREATHE prevalent COPD': '', 'BREATHE COPD exacerbations': '', 'BREATHE recommended': '', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169171,"1834611000006117","Dyspnoea, airflow obstn, smoking stat, exacerbatn freq index","{'SNOMED CT Concept ID': '1834611000006101', 'SNOMED CT Description ID': '1834611000006117', 'Read V2 Code': '', 'BREATHE Chronic bronchitis': '', 'BREATHE Emphysema': '', 'BREATHE incident COPD': '', 'BREATHE prevalent COPD': '', 'BREATHE COPD exacerbations': '', 'BREATHE recommended': '', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169177,"1865641000006112","Dyspnoea,obstruction, smoking, exacerbation frequency index","{'SNOMED CT Concept ID': '845301000000103', 'SNOMED CT Description ID': '2192591000000114', 'Read V2 Code': '38Gb.00', 'BREATHE Chronic bronchitis': '', 'BREATHE Emphysema': '', 'BREATHE incident COPD': '', 'BREATHE prevalent COPD': '', 'BREATHE COPD exacerbations': '', 'BREATHE recommended': '', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169195,"2010061000006113",Acute non-infective exacerbation of chronic obstructive pulmonary disease,"{'SNOMED CT Concept ID': '847091000000104', 'SNOMED CT Description ID': '2196421000000114', 'Read V2 Code': '', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': 'Y', 'BREATHE recommended': 'Y', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169197,"2160051010",Admit COPD emergency,"{'SNOMED CT Concept ID': '408501008', 'SNOMED CT Description ID': '3082901016', 'Read V2 Code': '8H2R.00', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': 'Y', 'BREATHE recommended': 'Y', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169229,"301453013",Acute exacerbation of chronic obstructive airways disease,"{'SNOMED CT Concept ID': '195951007', 'SNOMED CT Description ID': '301453013', 'Read V2 Code': 'H312200', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': 'Y', 'BREATHE recommended': 'Y', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169263,"424365019",Acute infective exacerbation of chronic obstructive airways disease,"{'SNOMED CT Concept ID': '285381006', 'SNOMED CT Description ID': '424365019', 'Read V2 Code': '', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': 'Y', 'BREATHE recommended': 'Y', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169285,"553211000006119","Chron obstruct pulmonary dis wth acute exacerbation, unspec","{'SNOMED CT Concept ID': '195951007', 'SNOMED CT Description ID': '301453013', 'Read V2 Code': 'H3y1.00', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': 'Y', 'BREATHE recommended': 'Y', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169290,"851261000006116","Chronic bronchitis, acute exac","{'SNOMED CT Concept ID': '851261000006100', 'SNOMED CT Description ID': '851261000006116', 'Read V2 Code': '', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': '', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': 'Y', 'BREATHE recommended': 'Y', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2482,6364,"2022-01-17T14:00:14.475561Z",2804,3838,1,2804,3784,169308,"977891000006112",COPD accident and emergency attendance since last visit,"{'SNOMED CT Concept ID': '413845009', 'SNOMED CT Description ID': '2533538014', 'Read V2 Code': '66Yd.00', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': 'Y', 'BREATHE recommended': 'Y', 'Cambridge COPD_COD (QOF v44)': '', 'LSHTM Data Compass 1601': 'Y', 'QOF v45 (2020-2021)': ''}",1,6364,Chronic obstructive pulmonary disease (COPD) Primary care -  3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
